id,comment_id,Comment
1899,3270,She successfully coded and presented the registration App. She has to write end of internship report explaining in detail all the new skills she has acquired.
1924,3331,"All tasks completed successfully.
Excellent work."
1940,3364,Joshua completed this week's tasks without any challenge.
1947,3373,"Uma has successully finished internship at Stratcom. He has acquired hands-on skills in networking, systems Admin, PC repair and software maintenance and so much more. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the best."
1950,3376,Rebecca has successfully finished her internship at Stratcom. She is supposed to write end of internship report explaining in details all the new skills she has acquired.
1952,3378,"I encourage Aaron to get used to the distance since internship is almost done. That aside, he successfully  completed this week's tasks and he's doing well."
1954,3380,Hellen successfully completed this week's tasks without any challenge.
1981,3409,Jovan has successfully completed this week's tasks. He is doing well.
1995,3423,Patricia has successfully completed this week's tasks without any challenge.
2018,3462,Stacey has successfully completed this week's tasks without any challenge
2019,3463,Charlotte has successfully finished internship at Stratcom. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
2036,3486,Simon has successfully completed this week's tasks.
2043,3500,"Aida has coded and presented the end of internship coding challenge, that is, a web app that enables students to register for internship at Stratcom. She is now supposed to write end of internship report and explain in detail all the new skills she has acquired."
2045,3504,Hilda has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her very best.
2051,3510,Ssemuga has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
2061,3528,Joshua has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. I also encourage him to use networking equipment at Stratcom for practice.
2146,3641,Leticia has successfully finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2156,3653,Joram is almost done with internship. He's supposed to write end of internship report explaining in detail all the newly acquired skills.
2181,3715,Steve has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2200,3748,Solomon has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2211,3761,I encourage Syden to perfect Linux and if possible switch from windows to linux. He is also supposed to write end of internship report explaining in detail all the new skills he has acquired.
2216,3767,Joan has successfully completed this week's tasks. She is doing well.
2288,3902,"Rhoda had a few issues with some software that couldn't install on her PC but she managed to fix the problem.  Being the last week,  she is supposed to write end of internship report explaining in detail all the new skills she has acquired."
2289,3903,Luise has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
2293,3907,I encourage Pamela to embrace linux because it's a very good operating system. She is also supposed to write end of internship report explaining in detail all the new skills she has acquired.
2294,3908,Noeline has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
2295,3909,Anna has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2296,3910,Hellen has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2298,3912,Fatihi has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2301,3915,Joan has successfully completed this week's tasks without any challenges. She is doing well so far.
2304,3918,Aaron has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2305,3920,Patricia has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2306,3921,Elsymus has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2307,3922,Heather has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
2309,3924,Jonas has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2311,3926,Gilbert has successfully completed this week's tasks. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2312,3927,Collins has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2313,3928,Apollo has successfully finished internship. He is supposed to write end of internship report explaining in detail all the skills he has acquired. We wish him the very best.
2314,3929,Gordan has finished internship. He is supposed to write end of internship report  explaining in detail all the new skills he has acquired. We wish him the very best.
2316,3931,Hope has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2318,3933,Sheenah has finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2319,3935,Derrick has finished internship. He is supposed to write end of internship report explaining in detail all the skills he has acquired. We wish him the very best.
2325,3941,Joram has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2328,3944,"Martin has successfully finished internship. He has acquired hands-on skills in networking, system Admin, PC repair, software maintenance and so much more. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best."
2331,3957,Caroli has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2332,3959,Isaac is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2343,3977,Faith has successfully finished internship. She is supposed to write end of internship report explaining in detail all the skills she has acquired.
2346,3981,Emeju has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2347,3982,Rajab has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
2348,3983,"Despite a few minor challenges, Saul has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired."
2351,3986,Rhoda has successfully completed this week's tasks.
2352,3987,Chelsea has successfully completed this week's tasks. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.  We wish her the very best.
2356,3991,The above tasks were successfully completed by Edgar.
2371,4026,Tasks were completed successfully.
2377,4035,Joshua has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2386,4044,Robinson has finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
2389,4047,Patricio has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
2406,4071,He has successfully completed this week's tasks.
2408,4073,Shadrack has successfully finished internship. He's supposed to write end of internship report explaining in detail all the new skills he has acquired.
2438,4125,"Francis has successfully finished internship. He has acquired hands-on skills in coding, networking, systems Admin, PC repair and so much more. He is supposed to write end of internship report explaining in detail all the skills he has acquired."
2439,4126,Jovia has successfully finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
2507,4259,Rhoda has successfully finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired. We wish her the very best.
2508,4278,"Eve has successfully finished internship. She has acquired hands-on skills in networking, systems Admin, PC repair and software mantaince. She is now supposed to write end of internship report explaining in details all the new skills she has acquired. We wish her the very best."
2514,4316,Phillip has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
2524,4335,Joan has successfully finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
2546,4374,I encourage Jovia to perfect linux because it's a very good operating system in terms of security. She is also supposed to write end of internship report explaining in detail all the skills she has acquired.
2558,4401,Simon has successfully completed this week's tasks. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
2582,4435,She has successfully completed this week's tasks.
2583,4436,Clarissa has successfully finished internship. She is supposed to write end of internship report explaining in detail all the skills she has acquired.
2588,4442,"Sarah has successfully finished internship. She has acquired hands-on skills in networking, systems administration, PC repair and software maintenance. She is supposed to write end of internship report explaining in detail all the new skills she has acquired."
2590,4444,Kenneth has successfully finished internship. He is supposed to use his newly acquired coding skills to solve a real world problem and present the solution to the field supervisor at Stratcom. He is also supposed to write end of internship report explaining in detail all the new skills he has acquired.
2593,4464,Stacey has to get used to debugging coding errors since it's part of coding. She is also supposed to write end of internship report explaining in detail all the new skills she has acquired.
2610,4555,Hamza has successfully completed the first week of internship. We are going to equip him with hands-on skills and practical competence for the next 6 weeks.
2616,4571,"Pius has successfully completed the first week of internship, and he is doing well. We are going to equip him with hands-on skills and practical competence for the next 6 weeks"
2628,4589,Sharifah has successfully completed the first week of internship without any challenges. We are going to equip her with hands-on skills and practical competence for the next 6 weeks.
2649,4619,"Samuel has successfully completed the first week of internship without any challenges. For the next 6 weeks, we are going to equip him with hands-on skills and practical competence."
2653,4623,Peter has successfully completed the first week of internship. We are going to equip him with hands-on skills and practical competence for the next 6 weeks.
2665,4638,Muhammad has successfully completed the first week of internship and he is doing well. We are going to equip him with hands-on skills and practical competence.
2704,4686,Titus has successfully completed the first week of internship with out any challenges. We are going to equip him with hands-on skills and practical competence for the next 6 weeks.
2706,4688,Gloria has successfully finished the first week of internship without any challenges. She is doing well.
2712,4694,Precious has successfully completed the first week of internship with out any challenges. We are going to equip him with hands-on skills and practical competence.
2720,4703,"Anna has successfully completed the first week of internship with out any challenges, and she is doing well. We are going to equip her with hands-on skills and practical competence for the next 6 weeks."
2748,4737,Graceous has successfully completed the first week of internship. I encourage her to always contact the Trainer incase of any challenges.
2757,4748,Shamimuh has successfully completed the first week of internship. We are going to equip her with hands-on skills and practical competence for the next 6 weeks.
2758,4749,Venensio has successfully completed the first of week of internship and he is doing well. We are going to equip him with hands-on skills and practical competence.
2821,4838,"Christine has successfully completed the first week of internship with out any challenges, and she is doing well. I encourage her to get used to the routine since internship is only for 6 weeks."
2834,4860,Peter has successfully completed the first week of internship without any challenges. We are going to equip her with  hands-on skills and practical competence for the next 6 weeks.
2835,4861,Reagan has successfully completed the first week of internship and he is doing well. We are going to equip him with hands-on skills and practical competence.
2846,4880,Junior has successfully completed the first week of internship without any challenges. We are going to equip him with hands-on skills and practical competence for the next 6 weeks.
2901,4983,He has successfully completed this week's tasks.
2906,4991,Ahmed has successfully completed this week's tasks without any challenges.
2916,5006,Iffah has successfully completed this week's tasks without any challenges.
2927,5019,Timothy has successfully completed this week's tasks.
2929,5021,Anna has successfully completed this week's tasks without any challenges.
2939,5036,Ibrahim has successfully completed this week's tasks without any challenges.
2948,5049,Lukia has successfully completed this week's tasks without any challenge.
2949,5050,He has successfully completed this week's tasks without any challenges.
2952,5053,Reagan is doing well. He has successfully completed this week's tasks without any challenges.
2955,5057,He has successfully completed this week's tasks.
2956,5058,He has successfully completed this week's tasks without any challenges.
2959,5061,Mercy has successfully completed this week's tasks.
2971,5075,She has successfully completed this week's tasks without any challenges.
2972,5076,He has successfully completed this week's tasks with out any challenges.
2973,5077,"Despite a few challenges, Joan has successfully completed this week's tasks."
2977,5082,He has successfully completed this week's tasks without any challenges
2988,5097,Innocent has successfully completed this week's tasks.
2991,5102,Samuel is doing well. He has successfully completed this week's tasks without any challenges.
2999,5112,Venensio ha successfully completed this week's tasks.
3003,5117,Paula has successfully completed this week's tasks.
3008,5122,George has successfully completed this week's tasks without any challenges.
3013,5128,Nicholas has successfully completed the first week of internship. I encourage him to get used to the schedule since internship is only for 6 weeks.
3016,5133,Hans has successfully completed this week's tasks.
3020,5138,Nicholas has successfully completed this week's tasks without any challenges.
3022,5142,He has successfully completed this week's tasks without any challenges.
3026,5147,He has successfully completed this week's tasks without any challenges.
3045,5166,He has successfully completed this week's tasks without any challenges
3048,5169,Sharifah has successfully completed this week's tasks without any challenges.
3049,5170,He has successfully completed this week's tasks without any challenges
3076,5200,Patricia has successfully completed this week's tasks without any challenges.
3095,5224,Richards has successfully completed this week's tasks without any challenges.
3096,5226,Peter has successfully completed the first week of internship without any challenges. We are going to equip him with hands-on skills and practical competence for the next 6 weeks.
3099,5229,Peter has successfully completed this week's tasks without any major challenges.
3111,5243,Precious has successfully completed this week's tasks without any challenges.
3112,5244,He has successfully completed this week's tasks without any challenges.
3128,5264,Hamza has successfully completed this week's tasks without any challenges.
3129,5267,Tasks were completed
3134,5274,Dickens has completed this week's tasks without any challenges.
3143,5299,He has successfully completed this week's tasks without any challenges
3148,5305,He has successfully completed this week's tasks.
3155,5315,She has successfully completed this week's tasks without any challenges.
3168,5332,Muhammad has successfully completed this week's tasks.
3269,5488,Joan has successfully completed this week's tasks without any challenges. She is doing well.
3284,5506,This task was completed successfully
3287,5510,He has successfully completed this week's tasks without any challenges.
3290,5514,"Despite a few challenges, Ambrozio has successfully completed this week's tasks."
3297,5523,He has successfully completed this week's tasks without any challenges.
3311,5540,She has successfully completed this week's tasks without any challenges.
3319,5550,Tasks completed.
3331,5563,He has successfully completed this week's tasks without any challenges.
3343,5577,He has successfully completed this week's tasks without any challenges.
3349,5586,She has successfully completed this week's tasks without any challenges.
3357,5598,Christopher has successfully completed this week's tasks without any challenges.
3407,5669,Owen has successfully completed this week's tasks without any challenges.
3539,5865,Tasks well completed.
3546,5872,Tasks completed in time
3560,5891,She has successfully completed this week's tasks without any challenges.
3567,5901,He has successfully completed this week's tasks without any challenges.
3573,5909,He has successfully completed this week's tasks without any challenge
3588,5925,He has successfully completed this week's tasks without any major challenges.
3615,5961,He has successfully completed this week's tasks without any challenges. He is doing well.
3732,6104,He has successfully completed this week's tasks without any challenges
3756,6142,Tasks were completed successfully
3758,6144,She successfully completed this week's tasks without any challenges.
3769,6161,He has successfully completed this week's tasks without any challenges.
3826,6247,He has successfully completed this week's tasks without any challenges.
3830,6252,All tasks completed
3872,6347,Reagan has successfully completed this week's tasks without any challenges.
3888,6367,She has successfully completed this week's tasks without any challenges.
3902,6381,Venensio has successfully completed this week's tasks without any challenges. He is doing well.
3911,6395,Samuel has successfully completed this week tasks without any challenges.
3920,6409,Joan has successfully completed this week's hands-on practical tasks with ease.
3959,6454,"Despite a few challenges, Joshua has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
3997,6507,Completed.
4036,6565,Completed
4038,6568,The tasks were completed successfully
4075,6629,Joan has managed to complete internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4082,6641,Completed
4139,6721,Hamza is doing well. He has completed this week's tasks without any challenges.
4148,6730,He has successfully completed this week's tasks without any challenges.
4156,6739,Completed.
4158,6743,Completed
4160,6745,Peter is doing well. He has successfully completed this week's tasks with ease.
4161,6746,Completed
4206,6834,"Despite a few challenges, Swaib has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4211,6839,He has successfully completed this week's tasks without any challenges.
4212,6841,"Despite a few challenges, Dodi has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4213,6842,Anna has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4215,6845,Moreen has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4218,6848,Azah has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4221,6852,"Despite a few challenges, Aaron has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4223,6856,Samuel has successfully completed this week's tasks without any challenges.
4228,6862,Tasks completed well for this week.
4229,6863,"Despite a very tight schedule, George has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4230,6864,Keneth has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4232,6867,Ambrozio has successfully finished internship. He is supposed to write end of internship report explaining all the new skills he has acquired.
4234,6870,"Despite a few challenges, David has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4235,6871,"Nicholas has successfully finished internship. He can now set up a LAN with over 20 PCs and also share resources (like internet connection, documents..etc) on a network with ease. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4236,6872,Levin has successfully completed this week's tasks without any challenges
4237,6873,Mark has finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4238,6874,Allam has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4241,6877,Raymond has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4243,6879,"Desire has successfully finished internship. She has acquired hands-on skills in Networking & Systems Administration, Coding and PC repair / Software maintenance. She is supposed to write end of internship report explaining in detail all the new skills she has acquired."
4244,6880,"Despite a few challenges, Shamimuh has managed to complete internship. she is supposed to present end of internship report explaining in detail all the new skills she has acquired."
4247,6884,Abdallah has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4250,6887,Sharifah has finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4251,6888,Hilbert has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4253,6890,Mariam has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4261,6904,"Despite a few challenges, Shadia has finished internship. Now that she is done with internship, I encourage her to concentrate on course works and assignments at campus.  She is also supposed to present end of internship report explaining in detail all the new skills she has acquired."
4265,6908,Erina has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4267,6910,Mark has successfully completed this week's tasks without any challenges.
4269,6912,Precious has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4272,6915,He has successfully completed this week's tasks.
4273,6916,"Despite a few challenges, David has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4275,6918,Ibrahim has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4290,6934,"Despite a few challenges, Kiiza has finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4291,6935,Alex has successfully finished internship. He's supposed to present end of internship report explaining in detail all the new skills he has acquired.
4296,6941,Collins has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4300,6954,Completed
4301,6957,"Despite a very tight schedule, Michelle has managed to complete internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired."
4306,6963,"Musumba has successfully completed this week's tasks. We have equipped him with hands-on skills in Networking & Systems Administration, PC repair and Software mantainance and Coding. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4315,6974,"Despite a few challenges, Graceous has managed to finish internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired."
4316,6975,"Despite a few challenges, Jonathan has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4320,6979,Iffah has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4323,6984,Habibah has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4331,6993,Edgar has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4345,7011,Jeremiah has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4355,7025,Tasks completed on time
4365,7045,"Despite a very tight schedule, Junior has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4371,7053,Charlotte  has finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4374,7057,"Despite a few challenges, Hans has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4380,7063,"Despite a very tight schedule, John has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4410,7122,"Despite a few challenges, Apollo has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4416,7131,Ronald has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4420,7138,"Despite a few challenges, Christopher has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4423,7141,Malcom has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4426,7145,Our last of internship.
4430,7160,Jonathan has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
4431,7161,Mark has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4433,7163,Derrick has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4447,7195,Mark has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4448,7196,Lukia has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4451,7200,Paula has successfully finished internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4452,7202,Mark has successfully finished internship. He is supposed to write end of internship report explaining in detail all the new skills he has acquired.
4453,7203,"Despite a few challenges, Davis has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4454,7205,Joan has successfully finished internship. She is supposed to write end of internship report explaining in detail all the new skills she has acquired.
4459,7214,"Samuel has successfully finished internship. He has acquired hands-on skills in Coding, Networking & Systems Administration, PC repair / Software maintenance. We wish him the very best."
4461,7217,Samuel has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4465,7222,Winnie has successfully completed this week's tasks. She is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4471,7228,Brian has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4477,7239,Completed
4480,7242,"Despite a few challenges, Benedict has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4482,7244,"Despite a tight schedule, Bhan has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4484,7246,Fazil has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills she has acquired.
4486,7252,"Despite a few challenges, Rajab has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4487,7253,Joshua has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4488,7254,Edgar has successfully completed the last week of internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4490,7256,"Despite a few challenges, Levin has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4493,7261,Polycarp has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4496,7267,Completed
4508,7287,Givious has successfully completed internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4512,7293,"Despite a few challenges, Noellah has managed to complete internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired."
4515,7300,"Jovan has successfully finished internship. He has acquired hands-on skills in Coding, Networking & Systems Administration, PC repair and software maintenance. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4523,7310,Hamza has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4544,7347,Michael has successfully completed internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4547,7356,Alex has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4549,7358,Richards has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4555,7365,"Despite a few challenges, Duncan has managed to complete internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4558,7370,"Despite a few challenges, Alvin has managed to finish internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired."
4579,7405,All tasks completed
4580,7409,All tasks completed on time
4585,7421,Brian has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4588,7424,"despite a few challenges , Boris has successfully completed this weeks tasks"
4591,7427,"Boris has successfully finished internship , he is supposed to write end of internship report explaining all the new skills he has acquired"
4608,7461,She has successfully completed the project I gave her for this internship training session.
4613,7476,Completed
4616,7481,Tasks completed
4623,7490,Dickens has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4624,7491,Harold has successfully finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired.
4669,7562,Samuel has finished internship. He is supposed to present end of internship report explaining in detail all the new skills he has acquired. We wish him the very best.
4727,7652,"Despite a few challenges, Maria has managed to complete internship. She is supposed to present end of internship report explaining in detail all the new skills she has acquired."
