id,district,dist_Cancelled,idug_Cnacelled,dist,id_canceled,reg_voters,amuriat,amur_pge,kabuleeta_kiiza_joseph,kab_pge,kalembe_nancy_linda,kalem_pge,katumba_john,katum_pge,kyagulanyi_robert_sentamu,kyagu_pge,mao_norbert,mao_pge,mayambala_willy,mayamb_pge,mugisha_muntu,mugis_pge,mwesigye_fred,mwesig_pge,tumukunde_henry,tumuk_pge,yoweri_museveni,yoweri_pge,valid_votes,invalid_votes,invalid_pge,total_votes,score_percent,percentage,increment
134,OBONGI,OBONGI,134,Kazo,131,19321,1102,9.18%,121,1.01%,39,0.33%,37,0.31%,2769,23.08%,56,0.47%,7,0.06%,53,0.44%,53,0.44%,86,0.72%,7676,63.97%,11999,884,6.86%,12883,67,66.68%,-0.24
135,RWAMPARA,RWAMPARA,135,Terego,143,70346,679,1.64%,50,0.12%,84,0.20%,215,0.52%,3710,8.95%,37,0.09%,17,0.04%,539,1.30%,39,0.09%,102,0.25%,35981,86.80%,41453,747,1.77%,42200,60,59.99%,0.28
136,ARUA,ARUA,136,Arua,2,170066,1107,1.51%,705,0.96%,522,0.71%,348,0.47%,28493,38.86%,772,1.05%,151,0.21%,563,0.77%,233,0.32%,863,1.18%,39566,53.96%,73323,4645,5.96%,77968,46,45.85%,0.31
137,GULU,GULU,137,,,103401,2159,6.55%,209,0.63%,231,0.70%,163,0.49%,7290,22.12%,7811,23.70%,47,0.14%,163,0.49%,139,0.42%,149,0.45%,14603,44.30%,32964,1952,5.59%,34916,34,33.77%,-0.39
138,JINJA,JINJA,138,,,154750,1512,2.21%,133,0.19%,694,1.02%,221,0.32%,43920,64.31%,173,0.25%,36,0.05%,276,0.40%,43,0.06%,85,0.12%,21202,31.04%,68295,2750,3.87%,71045,46,45.91%,0.34
139,FORT,FORT,139,,,65163,443,1.22%,208,0.57%,156,0.43%,316,0.87%,8440,23.22%,45,0.12%,15,0.04%,828,2.28%,52,0.14%,96,0.26%,25753,70.84%,36352,1424,3.77%,37776,58,57.97%,-0.31
140,MBARARA,MBARARA,140,,,114511,1428,2.67%,116,0.22%,114,0.21%,513,0.96%,12662,23.70%,65,0.12%,34,0.06%,1581,2.96%,53,0.10%,386,0.72%,36466,68.27%,53418,1656,3.01%,55074,48,48.09%,0.16
141,MASAKA,MASAKA,141,,,122339,212,0.31%,25,0.04%,43,0.06%,131,0.19%,53444,77.18%,204,0.29%,10,0.01%,105,0.15%,36,0.05%,46,0.07%,14992,21.65%,69248,1543,2.18%,70791,58,57.86%,0.15
142,MBALE,MBALE,142,,,147774,2037,2.70%,117,0.16%,249,0.33%,239,0.32%,42267,56.08%,173,0.23%,48,0.06%,147,0.20%,193,0.26%,182,0.24%,29717,39.43%,75369,3128,3.98%,78497,53,53.12%,0.06
143,TEREGO,TEREGO,143,,,95118,1344,2.78%,580,1.20%,484,1.00%,965,2.00%,16720,34.57%,705,1.46%,243,0.50%,1329,2.75%,458,0.95%,814,1.68%,24718,51.11%,48360,4497,8.51%,52857,56,55.57%,-0.26
